site_id;latitude;longitude
RM048U1;41.860111;12.457305
RM048U2;41.860111;12.457305
RM048U3;41.860111;12.457305
RM050U1;41.854748;12.451056
RM050U2;41.854748;12.451056
RM051U1;41.859665;12.448277
RM051U2;41.859665;12.448277
RM045V1;41.861359;12.452583
RM045V2;41.861359;12.452583
RM045V3;41.861359;12.452583
RM048V1;41.860111;12.457305
RM048V2;41.860111;12.457305
RM048V3;41.860111;12.457305
RM050V1;41.854748;12.451056
RM050V2;41.854748;12.451056
RM051V1;41.859665;12.448277
RM051V2;41.859665;12.448277
RM067V1;41.8465;12.433195
RM067V2;41.8465;12.433195
RM068V1;41.841972;12.428167
RM068V2;41.841972;12.428167
RM068V3;41.841972;12.428167
