# Created: Mon Aug 04 14:42:31 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.175
#	output:	new-results/terasort/out-0.175.csv
#	metrics-output:	new-results/terasort/metrics-0.175.csv
#
# Points picked
# 	(4.0, 50.0, 2.0)
# 	(2.0, 40.0, 10.0)
# 	(4.0, 10.0, 3.0)
# 	(4.0, 20.0, 8.0)
# 	(2.0, 20.0, 7.0)
# 	(1.0, 40.0, 2.0)
# 	(4.0, 40.0, 8.0)
# 	(2.0, 20.0, 10.0)
# 	(1.0, 30.0, 8.0)
# 	(2.0, 20.0, 5.0)
# 	(1.0, 30.0, 6.0)
# 	(1.0, 10.0, 10.0)
# 	(4.0, 20.0, 4.0)
# 	(2.0, 40.0, 6.0)
# 	(4.0, 20.0, 5.0)
# 	(4.0, 20.0, 6.0)
# 	(1.0, 20.0, 8.0)
# 	(1.0, 40.0, 9.0)
# 	(4.0, 10.0, 2.0)
# 	(1.0, 20.0, 7.0)
# 	(1.0, 50.0, 2.0)
# 	(2.0, 30.0, 6.0)
# 	(4.0, 20.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
2.0	20.0	2.0	193.7800	134.3421	216.8998	153.8255	178.4817	305.1480	172.4094	319.2200	203.6576	252.0208	
2.0	30.0	2.0	256.8900	187.2171	216.8998	187.2595	204.2611	305.1480	188.5752	319.2200	246.8522	252.0208	
2.0	40.0	2.0	323.5800	205.9314	216.8998	221.4766	230.0406	305.1480	238.7389	319.2200	287.3283	262.7727	
2.0	50.0	2.0	407.8700	208.6936	216.8998	267.9931	255.8201	305.1480	238.7389	319.2200	312.6870	262.7727	
4.0	10.0	2.0	72.2300	58.5336	124.6759	35.3313	75.3195	164.5913	170.8319	319.2200	120.5628	201.5142	
4.0	20.0	2.0	116.1100	78.2930	124.6759	62.6475	101.0990	164.5913	170.8319	319.2200	137.2191	201.5142	
4.0	30.0	2.0	168.4500	137.0198	124.6759	98.7028	126.8784	164.5913	186.9977	319.2200	164.4619	201.5142	
4.0	40.0	2.0	237.2300	194.3655	124.6759	133.5112	152.6579	164.5913	231.7012	319.2200	194.6116	229.1806	
4.0	50.0	2.0	362.6600	207.6214	124.6759	158.5831	178.4374	164.5913	231.7012	319.2200	218.7123	229.1806	
1.0	10.0	3.0	121.6500	120.6403	263.0118	174.0547	179.1834	305.1480	176.2502	199.5950	190.9667	252.0208	
1.0	20.0	3.0	219.5600	169.6996	263.0118	231.3328	204.9628	305.1480	176.2502	199.5950	229.0818	252.0208	
1.0	30.0	3.0	290.4400	200.1350	263.0118	303.0756	230.7423	305.1480	192.4161	199.5950	274.8380	252.0208	
1.0	40.0	3.0	379.0900	207.8174	263.0118	402.6616	256.5218	305.1480	261.6984	199.5950	315.7560	262.7727	
1.0	50.0	3.0	485.7900	208.8548	263.0118	534.5956	282.3013	305.1480	261.6984	199.5950	339.1920	262.7727	
2.0	10.0	3.0	112.3200	92.5695	216.8998	101.0546	140.4920	305.1480	160.4794	199.5950	157.1086	252.0208	
2.0	20.0	3.0	170.8600	142.5732	216.8998	140.4580	166.2715	305.1480	160.4794	199.5950	187.8056	252.0208	
2.0	30.0	3.0	220.8800	190.8653	216.8998	174.2445	192.0510	305.1480	176.6452	199.5950	228.1702	252.0208	
