# Created: Sat Aug 02 14:50:10 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.125
#	output:	results/pagerank/values-0.125.csv
#	metrics-output:	results/pagerank/metrics-0.125.csv
#
# Points picked
# 	(2.0, 60.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(4.0, 50.0, 3.0)
# 	(2.0, 80.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 70.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 70.0, 5.0)
# 	(4.0, 90.0, 5.0)
# 	(2.0, 60.0, 6.0)
# 	(1.0, 90.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 80.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 70.0, 9.0)
# 	(4.0, 90.0, 9.0)
# 	(2.0, 60.0, 10.0)
# 	(1.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
4.0	100.0	5.0	89.5600	78.5667	75.1764	88.4671	83.3040	80.7529	89.3497	80.2600	95.7051	93.8296	
1.0	50.0	6.0	131.5700	131.5964	143.6923	118.7236	129.2076	153.0432	141.7744	152.4071	118.4212	123.9986	
1.0	60.0	6.0	139.2100	131.8185	143.6923	127.6986	130.5377	153.0432	141.7744	152.4071	126.6004	127.5626	
1.0	70.0	6.0	137.2200	132.0369	143.6923	140.2249	131.8679	153.0432	141.7744	152.4071	135.7562	127.5626	
1.0	80.0	6.0	160.9800	132.2441	143.6923	157.2864	133.1981	153.0432	148.1355	152.4071	143.9995	134.9287	
1.0	90.0	6.0	173.8500	132.4342	143.6923	179.6135	134.5283	153.0432	151.5494	152.4071	149.4855	134.9287	
1.0	100.0	6.0	192.6700	132.6033	143.6923	207.2303	135.8585	153.0432	151.5494	152.4071	151.0825	134.9287	
2.0	50.0	6.0	96.7900	125.8910	120.8537	98.2951	111.5398	97.9501	109.9233	107.7814	101.2420	111.4715	
2.0	60.0	6.0	106.1100	126.7766	120.8537	100.3452	112.8700	97.9501	109.9233	107.7814	106.1757	111.4715	
2.0	70.0	6.0	102.9600	127.6730	120.8537	102.9862	114.2002	97.9501	109.9233	107.7814	112.9460	111.4715	
2.0	80.0	6.0	107.9900	128.5476	120.8537	106.5237	115.5304	97.9501	109.9233	107.7814	120.1068	111.4715	
2.0	90.0	6.0	116.1100	129.3718	120.8537	111.3993	116.8606	97.9501	115.3653	107.7814	126.0526	111.4715	
2.0	100.0	6.0	114.3800	130.1230	120.8537	118.2270	118.1908	97.9501	115.3653	107.7814	129.6013	111.4715	
4.0	50.0	6.0	68.6800	78.5657	75.1764	81.9452	76.2044	80.7529	88.4032	80.2600	80.6670	89.9623	
4.0	60.0	6.0	74.4500	78.5658	75.1764	82.8947	77.5346	80.7529	88.4032	80.2600	79.4186	89.9623	
4.0	70.0	6.0	71.7600	78.5660	75.1764	83.8711	78.8648	80.7529	88.4032	80.2600	80.6595	89.9623	
4.0	80.0	6.0	77.1100	78.5661	75.1764	84.8772	80.1950	80.7529	89.3497	80.2600	84.0477	89.9623	
4.0	90.0	6.0	82.5700	78.5664	75.1764	85.9183	81.5251	80.7529	89.3497	80.2600	88.8439	89.9623	
4.0	100.0	6.0	85.5400	78.5667	75.1764	87.0042	82.8553	80.7529	89.3497	80.2600	94.1731	89.9623	
1.0	50.0	7.0	117.9300	131.6557	143.6923	114.3376	128.7589	153.0432	131.2660	152.4071	114.5977	123.9986	
1.0	60.0	7.0	117.2900	131.8701	143.6923	121.7883	130.0891	153.0432	131.2660	152.4071	121.8782	127.5626	
1.0	70.0	7.0	138.5100	132.0809	143.6923	132.2518	131.4193	153.0432	131.2660	152.4071	130.2638	127.5626	
1.0	80.0	7.0	135.8200	132.2809	143.6923	146.7141	132.7495	153.0432	137.6272	152.4071	138.0092	134.9287	
1.0	90.0	7.0	149.7100	132.4643	143.6923	166.0930	134.0797	153.0432	141.0411	152.4071	143.3834	134.9287	
1.0	100.0	7.0	161.0500	132.6274	143.6923	190.8650	135.4099	153.0432	141.0411	152.4071	145.2965	134.9287	
2.0	50.0	7.0	74.3500	126.1249	120.8537	96.5699	111.0912	97.9501	109.9233	107.7814	98.3842	111.4715	
2.0	60.0	7.0	83.6500	126.9862	120.8537	98.4060	112.4214	97.9501	109.9233	107.7814	102.6098	111.4715	
2.0	70.0	7.0	100.6300	127.8569	120.8537	100.7102	113.7516	97.9501	109.9233	107.7814	108.7538	111.4715	
2.0	80.0	7.0	101.3800	128.7055	120.8537	103.7288	115.0818	97.9501	109.9233	107.7814	115.4868	111.4715	
2.0	90.0	7.0	100.7600	129.5042	120.8537	107.8233	116.4120	97.9501	115.3653	107.7814	121.3009	111.4715	
2.0	100.0	7.0	104.1500	130.2314	120.8537	113.5078	117.7421	97.9501	115.3653	107.7814	125.0567	111.4715	
4.0	50.0	7.0	72.6300	78.5658	75.1764	80.6661	75.7557	80.7529	88.4032	80.2600	80.6821	89.9623	
